Job Title,Company Name,Location,Skills,Salary,Responsibilitie,Date
Software Engineer,LemonTree Labs -,"Downtown, Cairo, Egypt",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · REST · Database · Web Development · React.js · Python · Cloud Services · RESTful API · Node.js,N/A,N/A,N/A
Odoo Developer,Al Hayat Capital -,"Mokattam, Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Odoo · Python,N/A,N/A,N/A
System Administrator Title,Confidential -,"Heliopolis, Cairo, Egypt",Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Engineering · MCSA · networks · LAN,N/A,N/A,N/A
Senior Odoo developer,Pure Group  -,"Cairo, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · HTML · CSS · JavaScript · jQuery · PostgreSQL · Xml Web Services · ERP System · ERP Software · Python,N/A,N/A,N/A
Senior Odoo Implementor,Xyris Digital Solutions  -,"Cairo, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Accounting · Computer Science · Business Analysis · Odoo · Information Technology (IT) · Engineering · Development,N/A,N/A,N/A
Data Analyst,ECC Group -,"Nasr City, Cairo, Egypt",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI · Computer Science · Data · Data Analysis · Data Management · Information Technology (IT) · Power BI,N/A,N/A,N/A
Mid-Senior Penetration Tester (Pen-Tester),Confidential -,"Riyadh, Saudi Arabia",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Linux · Network · Metasploit · Nmap · Penetration · Python · Security,N/A,N/A,N/A
Senior Data Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Python · SQL · Database · Pandas · Computer Science · Programming · Software Development,N/A,N/A,N/A
IOT Process optimization consultant / 6 Months contract,Efada Technology -,"6th of October, Giza, Egypt",Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development · Data Science · phd · operations reasearch · Customer Operations Performance Centre · Research · MBA · Software Engineering,N/A,N/A,N/A
Senior NET Developer,Techsa -,"New Cairo, Cairo, Egypt",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · MVC · OOP · Python · Software Development · C# · NoSQL Database,N/A,N/A,N/A
STEM Instructor/Teacher,TechAdemics -,"New Cairo, Cairo, Egypt",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Teaching · Computer Science · Education · Electronics · STEM · Programming · Robotics,N/A,N/A,N/A
Odoo Developer,Yodawy Med -,"Giza, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · Git · HTML · Information Technology (IT) · JavaScript · Odoo · ORM,N/A,N/A,N/A
Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,N/A,N/A,N/A
Senior odoo developer,Algoriza -,"Giza, Egypt",Experienced · 5 - 9 Yrs of Exp · IT/Software Development · CSS · Computer Science · HTML · front-end · Information Technology (IT) · JavaScript · Odoo · PostgreSQL · Programming,N/A,N/A,N/A
Integration Specialist,Confidential -,"Nasr City, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Integration · Java · JSON · ETL · Programming · JavaScript,N/A,N/A,N/A
Automation Engineer,Confidential -,"Beni Suef, Beni Suef, Egypt",Experienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Automation · PLC · Installation · Information Technology (IT) · Engineering · Electrical Engineering · Python · Programming,N/A,N/A,N/A
Odoo Developer,MOTHOL -,"Nasr City, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · CSS · ERP · HTML · Information Technology (IT) · JavaScript · Linux · Odoo · PostgreSQL · Python,N/A,N/A,N/A
Odoo Developer,Mittal for Consultation -,"Maadi, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Information Technology (IT) · Computer Science · Agile · Software Development · CSS · HTML,N/A,N/A,N/A
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,N/A,N/A,N/A
Junior Software Tester,RDI -,"Dokki, Giza, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Testing · QC · Quality Control · Automation Testing · API · JMeter,N/A,N/A,N/A
Data Analyst,Options -,"Cairo, Egypt",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT),N/A,N/A,N/A
Django Developer,Confidential -,"Sheikh Zayed, Giza, Egypt",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Back-End Development · Amazon AWS · Computer Science · Engineering · CSS · Git,N/A,N/A,N/A
Data Analyst,Carina Wear -,"New Cairo, Cairo, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Microsoft Power BI · business · Analysis · Computer Science · Big Data Analytics · Power BI,N/A,N/A,N/A
ICT/ Coding Teacher - 6 of October City,Confidential -,"6th of October, Giza, Egypt",Experienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · ICT · Computer Science · Teaching · Teacher · UK Curriculum · PGCE · python · JavaScript,N/A,N/A,N/A
BI Data Analyst,Confidential -,"Nasr City, Cairo, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI Analyst · Data Analyst · excel · Power BI · Python · Data Analysis · Information Technology (IT),N/A,N/A,N/A
Odoo Developer,Confidential -,"Cairo, Egypt",Experienced · 7 - 15 Yrs of Exp · IT/Software Development · ERP · Odoo · PostgreSQL · Python · Software Development · Information Technology (IT) · XML · Programming · Computer Science,N/A,N/A,N/A
AI Data Science and Machine Learning Instructor,CLS Learning Solutions -,"Dokki, Giza, Egypt",Experienced · 3 - 15 Yrs of Exp · Training/Instructor · Machine Learning · AI · Deep Learning · Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching,N/A,N/A,N/A
Odoo Developer,Trio M Smart Solutions  -,"Cairo, Egypt",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Python · XML · PostgreSQL,N/A,N/A,N/A
Software Engineer,R.D.T Sports Equipment Trading EST -,"Alexandria, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Software · Software Development · Computer Science · Engineering · CSS · Information Technology (IT) · Programming,N/A,N/A,N/A
Linux System Administrator/ Integrator,Confidential -,"Smart Village, Giza, Egypt",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Linux · Python · System Administration,N/A,N/A,N/A
Machine Learning Engineer,Citylogix ME -,"New Cairo, Cairo, Egypt",Experienced · 7 - 11 Yrs of Exp · IT/Software Development · Engineering · Deep Learning · Computer Science · Programming · Python · TensorFlow · PyTorch · Data visualization,N/A,N/A,N/A
Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt",Experienced · 4+ Yrs of Exp · IT/Software Development · Computer Science · Data Analytics · Data Science · Data · data scientist · Information Technology (IT) · Mathematics · Science · Python,N/A,N/A,N/A
Data Scientist,Wakeb Data -,"Mohandessin, Giza, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · data scientist · Python,N/A,N/A,N/A
Senior Backend Developer,Fox Soft -,"San Stefano, Alexandria, Egypt",Senior Management · 3 - 5 Yrs of Exp · IT/Software Development · PHP · Python · Information Technology (IT) · MySQL · Software · Software Development,N/A,N/A,N/A
Front-End Developer,Shebak -,"Smart Village, Giza, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · javaScript · Git · Linux · Information Technology (IT) · Troubleshooting · SQL,N/A,N/A,N/A
DevOps Engineer,Softec Technologies -,"Maadi, Cairo, Egypt",Experienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Java · Software Development · Unix · Azure · Engineering,N/A,N/A,N/A
AI Engineer,Paxerahealth Corp -,"Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · AI · Computer Science · Information Technology (IT) · Machine Learning · Programming · Frameworks · Artificial Intelligence,N/A,N/A,N/A
Senior Developer - Enterprise Software,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Fullstack · Frontend Development · HTML · CSS · javaScript · Backend Development,N/A,N/A,24 hours ago
Jr. Data Scientist,DXC Technology -,"Dubai, United Arab Emirates",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,N/A,N/A,4 days ago
Data Engineer,iValue -,"Riyadh, Saudi Arabia",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL,N/A,N/A,4 days ago
Learning & Development Specialist,UNITED STEEL INDUSTRIAL CO. -,"Kuwait City, Kuwait",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,N/A,N/A,8 days ago
Data Analyst,NICE ONE | نايس ون -,"Riyadh, Saudi Arabia",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,N/A,N/A,8 days ago
Learning & Development Management Lead Specialist,"Zakat, Tax and Customs Authority -","Riyadh, Saudi Arabia",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,N/A,N/A,N/A
Intelligence Analyst (Hybrid),PINKERTON | Comprehensive Risk Management -,"Dubai, United Arab Emirates",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Business Intelligence · Computer Science · Information Technology (IT) · Analysis · Engineering · SQL,N/A,N/A,N/A
Part Time/Full Time Remote Data Entry Clerk,"MAN, Technology, Environment -","Dubai, United Arab Emirates",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · operations,N/A,N/A,N/A
"Node JS with Golang, React",ParamInfo -,"Dubai, United Arab Emirates",Not specified · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · javaScript · HTML · React · CSS · Front-End,N/A,N/A,N/A
