Job Title,Company Name,Location,Skills,Salary,Responsibilitie,Date
Web Development & Programming Teacher (Various Locations inside Egypt),Confidential -,"Cairo, Egypt",Entry Level · 1 - 4 Yrs of Exp · Education/Teaching · Computer Science · Information Technology (IT) · Programming · Web Development · Education · PHP Web Development,N/A,N/A,N/A
Smart Home Devices - IOT Team Leader,Confidential -,"Mansoura, Dakahlia, Egypt",Experienced · 3 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Mechanical/Electrical · Electrical Engineering · Smart Home · Programming · Computer Science · Automation · Customer Service · Engineering,N/A,N/A,N/A
Assistant Business Intelligence Manager,SAVOLA -,"Nasr City, Cairo, Egypt",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · FMCG · Database · BI · Business Intelligence · Sales · BackOffice · HH · Information Technology (IT),N/A,N/A,N/A
Senior Devops Engineer,Confidential -,"Alexandria, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Docker · Cloud,N/A,N/A,1 day ago
Full Stack Web Developer,Generator -,"Heliopolis, Cairo, Egypt",Experienced · 4 - 12 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Laravel Framework · Web Development,N/A,N/A,N/A
Full Stack Developer,Al Shabab Al Tamoheen -,"Jeddah, Saudi Arabia",Experienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Angular · Computer Science · CSS · HTML · Information Technology (IT) · Java,N/A,N/A,N/A
Data Annotation Team Lead,Eg Insurtech -,"Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence,N/A,N/A,N/A
Full Stack Developer,Confidential -,"New Cairo, Cairo, Egypt",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack Developer · Mobile Application Development · Mobile Development · Mobile App Development · React Native · Node.js · Software Engineering,N/A,N/A,N/A
Senior QC Tester,waffarha.com -,"Downtown, Cairo, Egypt",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Agile · Automation · Information Technology (IT) · Software Testing · Testing · SQL · ISTQB · Analytical Skills · Automation Testing,N/A,N/A,N/A
Junior MERN Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt",Experienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Angular · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java,N/A,N/A,N/A
IT Section Head,Confidential -,"Obour City, Cairo, Egypt",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Mechanical/Electrical · computer · Computer Science · IT Service Management,N/A,N/A,N/A
web developer and PHP,souq.co -,"New Cairo, Cairo, Egypt",Experienced · 1 - 15 Yrs of Exp · IT/Software Development · HTML · JavaScript · PHP · MySQL · Information Technology (IT) · Git · Computer Science · Angular · Software Development,N/A,N/A,N/A
Senior Full Stack Java Developer,MTS-IT -,"Maadi, Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SQL · J2EE · JSP · JSF · Software Development · Web Development · Computer Science · Information Technology (IT),N/A,N/A,N/A
Senior Security Engineer,Cleopatra Hospitals Group -,"Maadi, Cairo, Egypt",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Security,N/A,N/A,N/A
Unreal Engine Programmer,Wakeb Data -,"Mohandessin, Giza, Egypt",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Simulation · Programming · Unreal Engine · Game development · Sensors · c++,N/A,N/A,N/A
Web Designer and Developer,ahramat -,"Sheikh Zayed, Giza, Egypt",Experienced · 2 - 6 Yrs of Exp · Media/Journalism/Publishing · Designer · developer · Web · Web designer · Web Development,N/A,N/A,N/A
[Remote] Frontend intern,Freightdog -,"Amsterdam, Netherlands",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Internship · JavaScript · React · Frontend · Software Development · Startup · Computer Science · Github,N/A,N/A,N/A
Application Support Engineer - ITSM/ITOM Solutions,Sanatech Global Solutions  -,"Smouha, Alexandria, Egypt",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · CCNA · Information Technology (IT) · ITIL · MySQL · Linux · BMC Helix Remedyforce · ServiceNow · SolarWinds · Networking,N/A,N/A,N/A
Junior Azure cloud engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud Computing · Cloud · DNS · Engineering · Computer Science · Azure Active Directory · Azure · Active Directory,N/A,N/A,37 minutes ago
Senior software engineer specialized ( Microservices environment),Confidential -,"Nasr City, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · MySQL · NoSQL Database,N/A,N/A,1 day ago
Senior Data Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling,N/A,N/A,N/A
Senior Odoo Developer,Confidential -,"Sidi Gaber, Alexandria, Egypt",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Odoo Developer · Software Development · senior · Odoo · JavaScript · OOP,N/A,N/A,N/A
Web Developer,YASPROMEDIA -,"Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · Media/Journalism/Publishing · Web Development · web developer · developer · Web,N/A,N/A,N/A
Data Engineer Expert (ETL Informatica Tools),BBI-Consultancy -,"Nasr City, Cairo, Egypt",Experienced · 5+ Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL,N/A,N/A,N/A
Senior Blockchain Developer,eVision -,"Cairo, Egypt",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Programming,N/A,N/A,N/A
Senior Manual and Automation Quality Control,Confidential -,"Riyadh, Saudi Arabia",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Automation · Automation Testing · Computer Science · ISTQB · Quality Assurance · Quality Control,N/A,N/A,N/A
Lead CX Consultant - Genesys Cloud,Xperience1st -,"Sheikh Zayed, Giza, Egypt",Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · IT/Software Development · Genesys · AWS,N/A,N/A,N/A
Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions -,"New Cairo, Cairo, Egypt",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Center · hyper converged · Vmware · Hyper-V · DevOps · Storage · Servers,N/A,N/A,N/A
Senior PHP Laravel Developer,Confidential -,"Maadi, Cairo, Egypt",Experienced · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP Laravel · PHP (Laravel) · Senior PHP · Software Development · senior · PHP · laravel developer · Laravel,N/A,N/A,N/A
IT Application Development and Support Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt",Experienced · 2 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · software support engineer · Application Development · Software Development · ERP Applications · powerschool · Odoo ERP · Odoo Development,N/A,N/A,N/A
Web Analytics Specialist,scandiweb -,"Alexandria, Egypt",Experienced · 1+ Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Google Analytics · Google tag manager · Web Analytics,N/A,N/A,N/A
IT Manager,The Translation Gate -,"Maadi, Cairo, Egypt",Manager · 10 - 13 Yrs of Exp · IT/Software Development · Information Technology (IT) · Linux · IT · DevOps · Computer Engineering · Networking · AWS · Linux Operating System · Project Management,N/A,N/A,N/A
Data Analyst,Royal Lab -,"Heliopolis, Cairo, Egypt",Experienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analyst · Information Technology (IT) · Analyst,N/A,N/A,N/A
Software Engineer,Dubenga -,"Dubai, United Arab Emirates",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software,N/A,N/A,8 days ago
System Administrator,RDI -,"Dokki, Giza, Egypt",Entry Level · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Network Administration · Information Technology (IT) · Networking · Linux · CCNA · CCNP · System Administration,N/A,N/A,7 days ago
"Senior Automation Quality Engineer (Selenium, Appium, REST Assured)",Money Loop  -,"New Cairo, Cairo, Egypt",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Selenium · QA · quality · Quality Control,N/A,N/A,N/A
Software Engineer (kuwait),WorkinVirtual -,"Kuwait City, Kuwait",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software,N/A,N/A,N/A
Network Engineer - Kuwait,WorkinVirtual -,"Kuwait City, Kuwait",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · Networks · Installation,N/A,N/A,N/A
Chief Technology Officer,ASTUDIO -,"Dubai, United Arab Emirates",Manager · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Finance · Accounting · Financial Management · Financial Analysis · Management · MBA · Information Technology (IT),N/A,N/A,N/A
Software Engineer - Intern (Remote Internship - IT),Kreativstorm -,"Tabuk, Saudi Arabia",Student · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software,N/A,N/A,N/A
Applications Developer,Ezdan Holding Group -,"Doha, Qatar",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · Engineering · SQL,N/A,N/A,N/A
IT Support Engineer,Opisok Ortho Specialized Clinic -,"Dubai, United Arab Emirates",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Engineering · Customer Support · Customer Service · Computer Engineering,N/A,N/A,N/A
Solutions Architect,Cloudera -,"Riyadh, Saudi Arabia",Experienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Software Development · Solution Architecture,N/A,N/A,N/A
Network Security Engineer,"NTT DATA, Inc. -","Riyadh, Saudi Arabia",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks,N/A,N/A,N/A
Senior Software Developer,PayTech Group -,"Doha, Qatar",Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · SQL · Engineering,N/A,N/A,N/A
Internship - Software Engineer,Rize | رايز -,"Riyadh, Saudi Arabia",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills,N/A,N/A,N/A
Internship - Data Analysis/ Science,Rize | رايز -,"Riyadh, Saudi Arabia",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills,N/A,N/A,N/A
Network Security Engineer,NTT -,"Riyadh, Saudi Arabia",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks,N/A,N/A,N/A
"Bytedance, Graduate Corporate Information System, Dubai, 2025",ByteDance -,"Dubai, United Arab Emirates",Entry Level · Medical/Healthcare · Sales/Retail · Pharmaceutical · bytedance · innovate · team · tech · stakeholders,N/A,N/A,7 days ago
Engineering Manager – PO & QA,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar",Experienced · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Project Management · Civil Engineering · Information Technology (IT) · Mechanical Engineering · Computer Science · Management,N/A,N/A,N/A
Project Analyst,Weee! -,"Riyadh, Saudi Arabia",Experienced · IT/Software Development · Project/Program Management · Analyst/Research · Project Management · Information Technology (IT) · Computer Science · Business Analysis · Software Development · PMP · Analysis,N/A,N/A,N/A
Manager – Model Development,Abu Dhabi Commercial Bank -,"Dubai, United Arab Emirates",Experienced · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Marketing · Sales Target · Management · Customer Service,N/A,N/A,N/A
"Associate, Business Manager",BlackRock -,"Riyadh, Saudi Arabia",Not specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Marketing · Sales Target · Customer Service · Customer Support,N/A,N/A,N/A
